passage_id,chapter,section,subsection,page,text,word_count,cluster,cluster_name,x,y,neighbors,section_novelty
p00001,Part 1: General Information,Part 1: General Information,,10,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together. Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe.",101,4,Student Life & Support,1.2085295,11.33464,p00005;p00003;p00021;p00028;p00010,0.12689471244812012
p00002,Part 1: General Information,Part 1: General Information,,10,"We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict. Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take through DKU and beyond.",90,2,Curriculum & Degree Requirements,1.6251832,11.087591,p01012;p00001;p00005;p00365;p00119,0.1268947720527649
p00003,Part 1: General Information,Mission Statement,,10,"Duke Kunshan University is a highly selective research-oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purposeful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four-year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom.",97,4,Student Life & Support,1.1149799,11.346027,p00008;p00028;p00007;p00032;p00001,0.12730109691619873
p00004,Part 1: General Information,Mission Statement,,10,"Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint-venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",44,3,Academic Procedures,6.204475,11.358039,p00538;p00006;p00539;p00540;p00562,0.12730109691619873
p00005,Part 1: General Information,Statement on Diversity and Inclusion,,10,"Duke Kunshan University welcomes passionate, creative, and intellectually-driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a",68,4,Student Life & Support,1.2425858,11.278847,p00001;p00021;p00003;p00024;p00028,0.1310696005821228
p00006,Part 1: General Information,Statement on Diversity and Inclusion,,11,"community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio-economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",78,3,Academic Procedures,1.9374086,11.424465,p00004;p00022;p00362;p00372;p00024,0.13106942176818848
p00007,Part 1: General Information,Who We Are,,11,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class.",100,4,Student Life & Support,1.0673898,11.156462,p00003;p00008;p00070;p00027;p00084,0.1282024383544922
p00008,Part 1: General Information,Who We Are,,11,"The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration. With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan universities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and integrity and apply classroom knowledge in service to society.",89,4,Student Life & Support,1.1318986,11.35357,p00003;p00007;p00028;p00032;p00070,0.10567796230316162
p00009,Part 1: General Information,Who We Are,,11,"Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a commitment to problem-based learning that challenges students to apply their knowledge during the learning process. As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment.",72,4,Student Life & Support,1.3216695,11.513776,p00023;p00028;p00032;p00003;p00039,0.19789165258407593
p00010,Part 1: General Information,Who We Are,,11,"The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens. Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor .",87,4,Student Life & Support,1.262688,11.55781,p00003;p00001;p00021;p00379;p00008,0.16253483295440674
