query,passage_id,chapter,section,subsection,page,cluster_name,text
credit,p00007,Part 1: General Information,Who We Are,,11,Student Life & Support,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class."
credit,p00027,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,Dual Degrees,14,Student Life & Support,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.
credit,p00040,Part 3: The Curriculum,Key Components,Structures,17,Academic Procedures — Topic 2,"• Divisional areas of knowledge organize the faculty and the curriculum – Natural and Applied Sciences; Social Sciences; and Arts and Humanities – rather than traditional majors or departments. • Intensive 7-week terms enable students to take two in-depth courses with the flexibility to take some courses in 14-week blocks. • Fridays are designed for practica, field trips, internships, co-curricular activities, and civic engagement . • Mini-term courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. There are no grades for these non-credit courses."
credit,p00043,Part 3: The Curriculum,Key Components,Core Components,17,Academic Procedures,"• Electives that broaden students’ educational experience via simple distributional requirements and additionally enable them either to develop greater specialized knowledge or to further increase the breadth of their study. • Experiential learning opportunities that align the formal curriculum with practica, internships and other hands-on offerings are required. These components are reflected in specific requirements: • General Education : 3 common core courses (12 credits), 2-4 language courses (8-16 credits) depending on proficiency, 3 electives (12 credits) as distributional requirements, and one Quantitative Reasoning course (4 credits)"
credit,p00044,Part 3: The Curriculum,Key Components,Core Components,18,Student Life & Support,"• Major : 16-19 courses (64 to 76 credits) (foundation, interdisciplinary, disciplinary, and capstone) • Electives : 8-13 courses (32 to 52 credits) depending on division and language proficiency, which include the three electives as distributional requirements and one Quantitative Reasoning course in General Education • Other requirements : 1 non-credit mini-term course and 1 Signature Work project that includes a practice-oriented Experiential Learning component (internships, civic engagement, etc.) Students who complete Duke Kunshan University’s 4-year undergraduate curriculum will receive two degrees, one from Duke University and one from Duke Kunshan University."
credit,p00045,Part 3: The Curriculum,Key Components,Core Components,18,Student Life & Support,"A total of 136 Duke Kunshan University credits is required for graduation with a Duke Kunshan University bachelor’s degree, 1 which is equivalent to 34 Duke University course credits (1 Duke course credit is equivalent to 4 Duke Kunshan University credits). A total of 34 Duke University course credits is required for graduation with a Duke bachelor’s degree. More details on the course credit requirement are explained below in the Degree Requirement section. 1 There are additional MOE requirements for the Chinese mainland and Hong Kong, Macau, Taiwan students to obtain a Duke Kunshan University bachelor’s degree. See section on Credits Required for Degrees."
credit,p00049,Part 3: The Curriculum,Degree Requirements,"Distribution Requirement (3 courses, 12 credits)",20,Academic Procedures — Topic 2,"The distributional requirement is intended to broaden students’ educational experience and ensure that all graduates have an acquaintance with a broad variety of fields of inquiry and approaches to knowledge. Students are required to take at least one four-credit course 2 in each of the three divisional areas: arts and humanities, natural and applied sciences, and social sciences. Courses that fulfill the distribution requirement are designated by divisional area attributes. The distribution requirement cannot be fulfilled with AP or IPC credits. 1. Courses with two divisional area attributes can be only counted as one area attribute; 2."
credit,p00050,Part 3: The Curriculum,Degree Requirements,"Distribution Requirement (3 courses, 12 credits)",20,Academic Procedures — Topic 2,Courses with both a Quantitative Reasoning (QR) attribute and a divisional area attribute can only be counted as one of these attributes; 3. Transfer credit from Duke or other academic institutions through study abroad or summer programs will need the review and approval from the division chair to fulfil the distributional requirement. 2 A student may fulfil the distribution requirement in a divisional area by taking two two-credit courses (four credits in total) with that divisional area attribute.
credit,p00051,Part 3: The Curriculum,Degree Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",21,Majors & Courses — Topic 3,"The Quantitative Reasoning (QR) requirement aims to ensure that all students graduate with critical skills in quantitative analysis and deductive reasoning. The QR requirement can be fulfilled by taking a course with the Quantitative Reasoning (QR) attribute 3 or by approved transfer credit from study abroad or summer programs for computer science, mathematics, or statistics courses. Transfer credit requires the review and approval from the appropriate division chair to fulfil the distributional requirement. The QR requirement cannot be fulfilled by AP or IPC credits."
credit,p00052,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,Student Life & Support,"One of Duke Kunshan University’s goals is for students to graduate with strong skills in multiple languages, especially English and Chinese. To this end, all students are required to take 8-16 credits of foreign language courses appropriate to their needs. Duke Kunshan University’s medium of instruction is English, so it is imperative that all students have a strong command of English. Further, the ability to produce effective academic papers and presentations in English is especially important."
