passage_id,chapter,section,subsection,page,section_novelty,text
p00718,Part 10: Majors and Courses,Course Descriptions,"Prerequisite(s): INTGSCI 102; or, BIOL 110 and CHEM 110 or 120",222,0.9570764899253845,Mutants will be created by random mutagenesis as well as targeted recombination and CRISPR.
p00839,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): COMPSCI 205,249,0.9536796808242798,"COMPSCI 320 Software Reliability (4 credits) Topics to be covered: software reliability growth models, software failure data analytics, classical software fault tolerance techniques based on design diversity, novel software fault tolerance techniques based on environmental diversity, classification of software faults, software aging and rejuvenation, and software safety, security and survivability. Statistical methods used in this context, methods of predicting software availability during operation, prediction of time to failure and optimal times to rejuvenate will be discussed. Practical application of these ideas will also be presented via case studies of SDN open source software ONOS and ODL, NASA Satellite on-board software, Apache Webserver and Android operating system."
p01142,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): PHYS 401,320,0.9457744359970093,"MATSCI 404 Polymers and Biomaterials (4 credits) Polymer is one of the most widely used materials in our daily life, from the rubber tires to clothes, from photoresists in chip manufacturing to flexible electronics and smart sensors, from Scotch tapes to artificial tissues. This course teaches entry-level knowledge in polymer synthesis, characterization, thermodynamics, and structure-property relationship. Emphasis will be on understanding both chemical and physical aspects and polymer chain size/dimension that drive the molecular, microscopic and macroscopic structures and the resulting properties. We will discuss how to apply polymer designs to advance nanotechnology, electronics, energy and"
p00724,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BIOL 201 or Consent of the Instructor,224,0.9416511058807373,ranging from single gene complementation/rescue in yeast to recombination and SNP mapping in Drosophila to whole genome association studies in human populations.
p00743,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BIOL 305,228,0.9388149380683899,"BIOL 403 Experimental Methods in Functional Genomics (4 credits) Functional genomics aims to identify a function for every gene in a genome. Using model systems like yeast, fruit flies and human cell lines, scientists can work toward this goal using a variety of methods. Approaches discussed will include a genetic approach by systematically reducing gene function by mutation or RNAi and examining a phenotype. Cellular location approaches using GFP fusions, yeast two-hybrid, and proteomics approaches will also be reviewed."
p00723,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BIOL 201 or Consent of the Instructor,223,0.9156304597854614,BIOL 304 Molecular Genetic Analysis (4 credits) A range of genetic traits can be mapped and investigated using molecular approaches. Here we will utilize several model systems to examine different molecular methods to identify genetic traits
p00747,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BIOL 208 or Consent of the Instructor,229,0.9064141511917114,"BIOL 407 Population Genomics and Molecular Evolution (4 credits) This course examines the genetic mechanisms of evolutionary change at the DNA sequence level in populations. Topics covered will include models of nucleotide and amino acid substitution, linkage disequilibrium and joint evolution of multiple loci. Evolutionary topics include neutrality, adaptive selection and hitchhiking. Case histories of molecular evolution as well as hypothesis testing and estimation of evolutionary parameters will be discussed."
p00921,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): ENVIR 101,269,0.9031749963760376,managing protected areas for long term viability of populations; the role of the landscape matrix around protected areas; and techniques for conserving biological diversity in semi-wild productive ecosystems such as forests.
p01131,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Literature (LIT),318,0.8928416967391968,"It might look at mid-19 th century such as Andrew Jackson, Sitting Bull, Abraham Lincoln, John Brown, Fanny Fern, Thomas Dartmouth Rice, “Little Eva,” “Stagger Lee,” and “John Henry.” Or it will focus on more recent icons, from Teddy Roosevelt, Harry Houdini, Bessie Smith, Louis Armstrong, Duke Ellington, Valentino, and Mae West in the early decades to Billie Holiday, Frank Sinatra, and Judy Garland (to cite only the singers) at mid-century to Kennedy, Malcolm X, and Martin Luther King in the sixties (to cite only the politicos) or even Madonna, Tupac, Gaga, Beyoncé and Kendrick Lamar (back to the musicians)."
p00709,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): PSYCH 101 or NEUROSCI 102,220,0.8908540606498718,"We will use systems analysis to elucidate how volition, intentionality, and purpose can be emergent properties of neuronal interactions. We will also explore how different neurological and psychiatric disorders can result from specific defects in hierarchical neural networks. Addiction, mental health disorders."
